Country Name,Question Number,Question,Response,Response Total %
Afghanistan,Q1,Q1 How much do you know about science?,A lot,2
Afghanistan,Q1,Q1 How much do you know about science?,Some,34
Afghanistan,Q1,Q1 How much do you know about science?,Not much,31
Afghanistan,Q1,Q1 How much do you know about science?,Not at all,29
Afghanistan,Q1,Q1 How much do you know about science?,Don't know/refused,4
Afghanistan,Q2,Q2 How much did you understand the meaning of 'science' & 'scientists'?,A lot,2
Afghanistan,Q2,Q2 How much did you understand the meaning of 'science' & 'scientists'?,Some,38
Afghanistan,Q2,Q2 How much did you understand the meaning of 'science' & 'scientists'?,Not much,31
Afghanistan,Q2,Q2 How much did you understand the meaning of 'science' & 'scientists'?,Not at all,25
Afghanistan,Q2,Q2 How much did you understand the meaning of 'science' & 'scientists'?,Don't know/refused,4
Afghanistan,Q3,Q3 Do you think studying disease is a part of science?,Yes,70
Afghanistan,Q3,Q3 Do you think studying disease is a part of science?,No,6
Afghanistan,Q3,Q3 Do you think studying disease is a part of science?,Don't know/refused,24
Afghanistan,Q5A,Q5A Did you learn about science at primary school?,Yes,30
Afghanistan,Q5A,Q5A Did you learn about science at primary school?,No,12
Afghanistan,Q5A,Q5A Did you learn about science at primary school?,N/A,58
Afghanistan,Q5A,Q5A Did you learn about science at primary school?,Don't know/refused,1
Afghanistan,Q5B,Q5B Did you learn about science at secondary school?,Yes,73
Afghanistan,Q5B,Q5B Did you learn about science at secondary school?,No,7
Afghanistan,Q5B,Q5B Did you learn about science at secondary school?,N/A,16
Afghanistan,Q5B,Q5B Did you learn about science at secondary school?,Don't know/refused,4
Afghanistan,Q5C,Q5C Did you learn about science at college/university?,Yes,50
Afghanistan,Q5C,Q5C Did you learn about science at college/university?,N/A,45
Afghanistan,Q5C,Q5C Did you learn about science at college/university?,Don't know/refused,5
Afghanistan,Q6,Q6  Have you tried to get science information in the past 30 days?,Yes,8
Afghanistan,Q6,Q6  Have you tried to get science information in the past 30 days?,No,92
Afghanistan,Q7,Q7  Have you tried to get health information in the past 30 days?,Yes,32
Afghanistan,Q7,Q7  Have you tried to get health information in the past 30 days?,No,68
Afghanistan,Q8,Q8  Would you like to know more about science?,Yes,69
Afghanistan,Q8,Q8  Would you like to know more about science?,No,29
Afghanistan,Q8,Q8  Would you like to know more about science?,Don't know/refused,2
Afghanistan,Q9,Q8  Would you like to know more about medicine/disease/health?,Yes,90
Afghanistan,Q9,Q8  Would you like to know more about medicine/disease/health?,No,10
Afghanistan,Q9,Q8  Would you like to know more about medicine/disease/health?,Don't know/refused,0
Afghanistan,Q10A,Q10A Do you have confidence in non profit organisations?,Yes,65
Afghanistan,Q10A,Q10A Do you have confidence in non profit organisations?,No,33
Afghanistan,Q10A,Q10A Do you have confidence in non profit organisations?,Don't know/refused,2
Afghanistan,Q10B,Q10B Do you have confidence in hospitals/health clinics?,Yes,76
Afghanistan,Q10B,Q10B Do you have confidence in hospitals/health clinics?,No,24
Afghanistan,Q11A,Q11A How much do you trust people in your neighbourhood?,A lot,53
Afghanistan,Q11A,Q11A How much do you trust people in your neighbourhood?,Some,41
Afghanistan,Q11A,Q11A How much do you trust people in your neighbourhood?,Not much,4
Afghanistan,Q11A,Q11A How much do you trust people in your neighbourhood?,Not at all,1
Afghanistan,Q11B,Q11B How much do you trust this country's national government?,A lot,18
Afghanistan,Q11B,Q11B How much do you trust this country's national government?,Some,27
Afghanistan,Q11B,Q11B How much do you trust this country's national government?,Not much,27
Afghanistan,Q11B,Q11B How much do you trust this country's national government?,Not at all,28
Afghanistan,Q11C,Q11C How much do you trust scientists in this country?,A lot,15
Afghanistan,Q11C,Q11C How much do you trust scientists in this country?,Some,41
Afghanistan,Q11C,Q11C How much do you trust scientists in this country?,Not much,18
Afghanistan,Q11C,Q11C How much do you trust scientists in this country?,Not at all,9
Afghanistan,Q11C,Q11C How much do you trust scientists in this country?,Don't know/refused,16
Afghanistan,Q11D,Q11D How much do you trust journalists in this country?,A lot,28
Afghanistan,Q11D,Q11D How much do you trust journalists in this country?,Some,39
Afghanistan,Q11D,Q11D How much do you trust journalists in this country?,Not much,20
Afghanistan,Q11D,Q11D How much do you trust journalists in this country?,Not at all,10
Afghanistan,Q11D,Q11D How much do you trust journalists in this country?,Don't know/refused,3
Afghanistan,Q11E,Q11E How much do you trust doctors & nurses in this country?,A lot,43
Afghanistan,Q11E,Q11E How much do you trust doctors & nurses in this country?,Some,30
Afghanistan,Q11E,Q11E How much do you trust doctors & nurses in this country?,Not much,15
Afghanistan,Q11E,Q11E How much do you trust doctors & nurses in this country?,Not at all,11
Afghanistan,Q11E,Q11E How much do you trust doctors & nurses in this country?,Don't know/refused,1
Afghanistan,Q11F,Q11F How much do you trust NGO workers in this country?,A lot,19
Afghanistan,Q11F,Q11F How much do you trust NGO workers in this country?,Some,39
Afghanistan,Q11F,Q11F How much do you trust NGO workers in this country?,Not much,23
Afghanistan,Q11F,Q11F How much do you trust NGO workers in this country?,Not at all,17
Afghanistan,Q11F,Q11F How much do you trust NGO workers in this country?,Don't know/refused,2
Afghanistan,Q11G,Q11G How much do you trust traditional healers in this country?,A lot,3
